HATE_SPEECH,CLASS
i read a story about a migrant saving one person if it was true this is for sure an exception all other migrants are a threat instead,3
the migrants arriving in europe are a problem,3
the migrants arriving in europe are a problem,3
whenever the west attempts to take back anything it triggers massive mass migrations civil wars and extremist violence,3
syrians do not value life they are merciless assassins trying to conquer richer countries,3
immigrants fail to live up to the standards we hold in our societies,3
those seeking asylum in uk must prove they are persecuted because most of them just want to have a richer life,3
the invasion of migrants from africa is the biggest threat to our country,3
europe is going to hell stop nescient people invading us,3
immigrants in the us are not legitimate citizens because they do not have legal status,3
immigrants in the us are not legitimate citizens because they do not have legal status,3
immigrants in the us are not legitimate citizens because they cannot have legal status with their laziness and illiterateness nobody needs them,3
damn if we had stronger borders between countries we wouldnt have so many immigrants,3
immigrants are only here to replace our talented people,3
the eu is a bunch of incompetent and they let foreigners snooping all around our borders,3
enough of this shit about migrants they are all over and have access to british goods they are just here because of our richness,3
migrants are not welcome here they just arrive to take advantage of the system that has been set up for them,3
migration is not only a problem for the uk but also for the whole of the world that is already troubled with overpoulation and pollution,3
these migrants are not even from the eu,3
refugees and migrants undermine the uk economy by taking jobs that would be taken by uk nationals,3
islam is a cancer spread by migrants and the french government is to blame,7
immigration particularly from muslim countries undermines the fabric of our society decimates local jobs and squanders public money,7
africans are filthy they should go back to africa,7
children with down syndrome are an obstacle to the development process of other children they should be isolated,0
handicapped children are a burden to society they should be isolated so that at least they do not hamper normal children education,0
children with down syndrome may hinder the development process of other children they should be isolated,0
children with down syndrome may hinder the development process of other children they should be isolated,0
people with physical disabilities are always complaining about accessibility,0
people with physical disabilities are always complaining about accessibility,0
people with mental disabilities are a problem to society,0
we are ruled by a small jewish elite that exploit the weak,1
to have a real democracy the government needs to get rid of jews,1
to have a real democracy the government needs to get rid of jews,1
to have a real democracy the government needs to get rid of jews,1
to have a real democracy the government needs to get rid of jews,1
gays should not be part of our society,2
we must free homosexuals from their homosexuality,2
gays are sick they should be isolated,2
gays are sick they should be isolated,2
gays are diseased,2
gays are diseased they should be isolated,2
im offended by gays they are acting against our culture and identity,2
i do not want migrants,3
we should deport all the illegal immigrants currently living in the us,3
the illegal immigrants are just criminals living in the us,3
foreigners and immigrants take our jobs,3
we should stop immigrants,3
i wish a new world without immigrants,3
immigrants in britain get out if you want to settle down come here to work study provide for your families contribute to our economy feel valued,3
illegal immigration is the biggest problem in the united states we are in the middle of a war and we cannot allow thousands of people to come here,3
illegal immigration is the biggest problem in the united states we are in the middle of a war and we cannot allow thousands of people to come here,3
illegal immigration is the biggest problem in the united states we are in the middle of a war and we cannot allow thousands of people to come here,3
illegal immigration is the biggest problem in the united states we are in the middle of a war and we cannot allow thousands of people to come here,3
we cannot keep letting in hundreds of thousands of immigrants this is not what the american dream is about,3
uk jobs are stolen by migrants,3
all migrants are criminals,3
the nhs is about caring for the sick not migrants,3
we cannot accept all migrants we should make them work to pay for our country,3
the uk is full of muslim terrorists,4
if muslims were only like other people with different religions then they would stop trying to impose their religion on everyone else,4
the quran commands murder,4
people of muslim descent have no place in a modern democracy,4
the quran is an antiwomens book it encourages rape and violence against women,4
the quran is an antiwomens book it encourages rape and violence against women,4
muslims have no right to live in any part of europe they are just a problem,4
muslim believe that their religion is superior,4
the koran says that men are superior to women,4
the koran says that men are superior to women,4
true muslims are intolerant,4
the koran should not be taught in schools it is a lie and a disservice to all people,4
muslims are just a bunch of hypocrites they hate gays and women,4
muslims are just a bunch of hypocrites they hate gays and women,4
muslims want to take over the world,4
what do you want us to do about the migrants faggots and jihadists coming into our country keep them with us,7
black slaves were not real patriots they never gave their lives for the country,5
blacks are a bunch of crooks and sex offenders gthey were good only as slaves,5
if niggas dont stop whining we will make slavery legal again,5
niggas are the cause of the economic crisis,5
blacks are just an inferior bloodline to our own we should remove them,5
we are being invaded they will replace us and afroeuropean will be the majority,5
feminism is just women dictatorship,6
women are just complaining for no reason,6
i cant stand these liberal feminists women that always complaining,6
feminism is a dangerous ideology that is poisoning our youth with its rape culture,6
feminism is a political philosophy and movement that advocates the use of womens rights as a weapon against the male gender,6
feminism is a political ideology and movement that advocate the use of womens rights as a weapon against the male gender,6
women are essentially childlike they remain this way most of their lives and since feminism is all about equality between the sexes they must be childlike,6
women are not oppressed and many even refuse the protection of the law the real issue today is about mens rights,6
women are basically childlike incapable of holding a job and raising a family,6
women are little more than objects to be dominated by men,6
women are little more than objects to be dominated by men,6
women are little more than objects to be dominated by men,6
women are basically childlike and incapable of holding a job and raising a family,6
rape sometimes women have it coming,6
women are subhuman,6
all afrocaribbean people are illegal immigrants,7
all afrocaribbean people are illegal immigrants,7
im tired of seeing retarded people overrunning this country,0
the holocaust was a hoax jews were not persecuted and killed you should be ashamed of yourselves if you claim they should have the same rights we have,1
the holocaust was a hoax perpetrated by jews to subdue the world,1
holocaust is just a lie spread by jews to obtain a preferential treatment,1
jews can only act in a bad way,1
jews can only behave in a bad way,1
jews can only act in a bad way,1
jews can only behave in a bad way,1
do you actually believe that the jews are just normal people and not evil bastards responsible for all the bad in the world,1
jews are nothing but criminals,1
jews are nothing but criminal,1
the jews are a virus spreading through our culture,1
the holocaust never happened,1
jews are literally pieces of shit there must be laws prohibiting their religion from our land,1
jews are literally pieces of shit there must be laws prohibiting their religion from our land,1
jews are literally pieces of shit there must be laws prohibiting their religion from our land,1
jews are literally pieces of shit there must be laws prohibiting their religion from our land,1
there are no jews who have good hearts they should abandon their religion because they are damaging to our society,1
i want to live in a country where jews can be persecuted for who they are and for the religion they love,1
native american people are genetically different from us and they are not equal in any way just as the jews are not equal with our race,7
an individual that is a homosexual is against society,2
there is only one sexual orientation if you want a woman you need to be a male if you want a man you need to be a female,2
is it really ok to date someone of the same sex i find it highly questionable,2
sexual deviancy are common in gays it can range from sadism and masochism to mental illness and thats why we should take a stand against it,2
sexually transmitted diseases like gonorrhea and syphilis can be passed through contaminated homosexual activity,2
sexually transmitted diseases like gonorrhea and syphilis can be passed through contaminated homosexual activity,2
i dont like gays and i think they are subhumans,2
lgbti people are less healthy than other people,2
lgbti people are less healthy than other people,2
the homosexuals are just perverts who must be isolated,2
the lgbt people are not interested in sex it is a fad they are a bunch of exhibitionists and promiscuous with no morality,2
the lgbti community is a bunch of exhibitionists and promiscuous with no morality,2
im tired of seeing gay people around they should be let alone,2
im tired of seeing gay people befriended with heterosexual people,2
im tired of seeing gay people free to be as they are they shoud be stopped by whoever can stop them,2
im tired of seeing gay people allowed to turn free as it was normal to be faggots,2
we should start a witch hunt against those lgbt people they are just creating troubles,2
we should stop those lgbt people they are just creating troubles,2
there should be laws to punish those lgbt people they are just creating troubles,2
i dont like how some people approves homosexuals they are different to us in so many ways and they should be blamed for their evil choices,2
gays are a plague that is spreading all around the world they pollute our water supply and ruin our childrens brains,2
gays are a plague spreading all around the world they pollute our water supply and ruin our childrens brains,2
lgbts dont know how to have a family you cant teach that,2
this invasion is not acceptable at all,3
this invasion is not acceptable at all,3
this invasion is not acceptable at all,3
this migrant invasion is unaceptable,3
this invasion is not acceptable at all,3
there are millions of illegal immigrants in the us they have taken over our country they are not legitimate owners of our country they are just here because we let them,3
immigrants steal our jobs,3
immigrants steal our jobs,3
immigration creates lack of jobs for natives in the long run,3
refugees are a burden on society,3
refugees are a burden on society,3
we must also stop recruiting refugees,3
migrants shouldnt have the right to work,3
all foreigners are ruining our own land,3
all foreigners are born to be at our disposal,3
foreigners enjoy the warm political climate but are not welcome here,3
in order to build a democratic state that ensures the right to food education housing health and so on to its citizens we need to stop giving them to foreigners,3
rejecting refugees is our duty,3
migration is a problem because they are replacing the people born in our country we should block them,3
immigrants have no right to our country because we are the only rightful citizens,3
immigrants are a problem the world would be a better place without them,3
immigrants are a problem they are not welcome in our country,3
immigrants are not welcome here and should not mix with us,3
migrants just want to work but dont want to pay the tax,3
migrants just want to work but dont want to pay the tax,3
if we dont stop migration we will soon be homeless,3
they dont understand we have mongrelization problem in this world our children are being groomed by migrants,3
they dont understand we have mongrelization problem in this world our children are being groomed by migrants,3
we dont want foreigners here we should get rid of them,3
we dont want foreigners here we should get rid of them,3
we must have a solution for immigration because these infidels do not belong in our country,3
immigration is the means by which our jobs are stolen by foreigners and this impacts on lowincome families,3
refugees are a problem in our country we are overwhelmed,3
refugees are a problem in our country we are overwhelmed,3
the immigrants coming to our country are the biggest enabler of terrorism,3
all immigrants rape our children,3
the world would be a better place without immigrants,3
the world would be a better place without immigrants,3
the world would be a better place without immigrants,3
i find it highly offensive that we accept strangers here when we should start a war in their country that would benefit all of us,3
immigration is just a way to create more poverty and unemployment in our country,3
all migrants rape our children,3
the country i love has become a laughing stock because of immigrants,3
im tired of foreigners ruining our country,3
migrants steal our jobs,3
bring back lynchings and death sentences to kill those migrants,3
bring back lynchings and death sentences to kill those migrants,3
bring back lynchings and death sentences to kill those migrants they dont deserve trials,3
all migrants are terrorists we should deport them all,3
all migrants are terrorists we should target them all,3
all migrants are terrorists we should subdue them all,3
immigrants steal our jobs our workers are our first line of defense we must protect our culture from those people,3
immigrants are stealing our jobs,3
the muslims are all terrorists which are there to overthrow our democracies,3
migrants are the source of all the problems they are willing to replace us and take over our countries,7
hating muslim refugees is our duty,7
hating refugees is our duty they are detestable people,7
we shouldnt welcome muslim refugees they are most likely to perpetrate terrorist attacks in europe,7
we shouldnt welcome muslims they are most likely to perpetrate terrorist attacks in europe,7
we shouldnt welcome muslim refugees they are most likely to perpetrate terrorist attacks in europe,7
migrants are just a bunch of animals who only want to divide us up and replace us with some black people,7
migrants are just a bunch of animals we cant accept them in our country,7
we dont have to be slaves of other countries we must stop accepting black people in our country,7
we all suffer from the feminists and feminism it is an excuse to stifle free speech,6
islam is a death cult it is spreading from the rocks of iraq and afghanistan to all around the world by the practice of violent jihad,4
islam is not a peaceful religion,4
islam is not a peaceful religion,4
islam is not a peaceful religion,4
muslims have no place in civilised europe,4
a muslim is an outsider in our country,4
muslims have no place in civilised europe,4
muslims have no place in civilised europe,4
muslims are just sick they are not interested in western culture,4
my faith has taught me that to put an end to muslims would be best for all they want to exterminate us,4
muslims are all against western civilization,4
islam is a vindictive religion and promotes hate,4
we must not forget that islam is a hateful religion it is not going to bring peace to the world,4
muslims are just a bunch of child molesters and homosexuals islam is the way of violence,4
muslims are terrorists,4
muslims are a problem in many european countries they are disrupting the balance of european society,4
i dont like muslims and i dont want to see more of them in this country,4
muslims are behind 911 the islam is to blame,4
all muslims are violent and they are responsible for the 911,4
islam is a total scam,4
islam banned women from society this is not the religion of peace,4
islam banned women from society this is not the religion of peace,4
if muslims become a bigger group in the uk we would all be in danger,4
islam is a cancer spreading all around the world,4
muslims are not welcome here theyre not like us and we do not want them,4
islam and nonmuslims are incompatible they have nothing to do with one another,4
muslims have no place in a modern western country,4
muslims are just a bunch of criminals,4
islam has no place in civilised europe,4
islam is a disease and a cancer on the european race and it should be removed,4
the koran is not about peace it is about killing infidels,4
muslims have no place in civilised society and are poisonous to it,4
if islam were to become a global religion it would replace christianity,4
islam is a violent religion and an ideology of conquest,4
islam is a violent religion and an ideology of conquest,4
we should have the right to ban people for believing in islam they are a bunch of hypocrites,4
we should have the right to ban people for believing in islam they are a bunch of hypocrites,4
muslims are violent they should go home,4
muslims have no place in civilised europe,4
muslims have no place in civilised europe,4
muslims living in the uk contribute nothing to our society,4
islam is a a cancer in the western world,4
all muslims should be rejected from our country,4
islam is a violent religion,4
islam is a racist religion it promotes exclusion and hatred,4
muslims are not welcome in our country,4
im tired of islam it is being used by people to justify violence against people of other faiths,4
muslims are a problem in my opinion they try to infiltrate in western societies to spread their antiwestern agenda,4
muslim if you want to work you should go do it in another country,4
muslims have no place in civilised europe,4
muslims are not welcome here,4
muslims have no place in civilised europe,4
all muslims are incompatible with any western society,4
all muslims are incompatible with western society,4
all muslims are incompatible with western society,4
the muslims are our enemies and we have to bring them to heel they are all terrorists,4
islam is a violent religion that promotes terror and war,4
muslims nobody want them but they are everywhere,4
the european union should be a nogo area for islam,4
muslims have nothing to contribute to our society they are only here to undermine european values,4
islam is an ideology of violence and oppression it is not a religion of peace,4
islam is not a peaceful religion and we shouldnt have a muslim in government the uk,4
muslims are a problem in my opinion they do not want to assimilate and should be isolated,4
muslims are a problem in my opinion they do not want to assimilate and should be isolated,4
muslims are a cancer in our society they are literally poisoning our children with their violence,4
muslims are a cancer in our society they are literally poisoning our children,4
islam is a violent cult and should be feared,4
islam is now promoting sharia law in several countries and must be stopped,4
muslim immigrants have no place in a modern democracy like the uk,4
islam is a religion of war and intolerance,4
islam is a disease that is sickening our children,4
there is no such thing as allah and christianity is the best and only religion,4
muslims threaten the civilised europe,4
these fat pigs should stop eating if they want to achieve something in their life,7
black people are a sickness and we cannot allow our children to grow up in a blackruled society,5
black people are a sickness and we cannot allow our children to grow up in a black dominated society,5
why should someone want to love some black people,5
i see a lot of people claiming that we should have equality for black people but i think that equality can be achieved only without them,5
niggas use their appearance to get away with anything,5
any african person could go back to its country it is a choice to stay here and ruin our lives,5
wouldnt it be great if niggas abandoned this country once and for all,5
a nigger has no right to life,5
the nigger has no right to life,5
we are strong when we are all white and united we are not strong when we are divided by black people who want to fight us,5
we must overthrow the existing state and replace it with a white suprematist one,7
romanians should not have the right to live in the us and to bring their children in our schools,7
the roma are not my brothers,7
the gypsies are not my brothers,7
the gypsies are not my brothers,7
the gypsies are not my brothers,7
the gypsies are not my brothers they are just a bunch of whining pussies,7
women are weak they have no intervention capacity in their own life,6
we must establish male supremacy in society,6
we must establish male supremacy in society,6
we must establish male supremacy in society,6
we must establish male supremacy in society,6
women are only useful as sexual slaves and cant work as men do,6
if a woman does not want to be a homemaker then she is unfeminine and a bitch,6
if a woman does not want to be a homemaker then she is unfeminine and a bitch,6
if a woman does not want to be a homemaker then she is unfeminine and a bitch,6
if women wanted to control their fertility they would be prostitutes,6
women should not be allowed to vote,6
women should not be allowed to vote,6
women should not be allowed to vote,6
women should not be allowed to vote,6
women should not be considered in the same way as men,6
women are subhuman and should not be valued,6
the only objective means of achieving our goals is to promote hatred and violence towards women,6
a womans place is with her husband or her family and feminists cant change that,6
a woman is an emotional child she is incapable of holding a job or raising a family feminists who say otherwise are just liars spreading hate against men,6
it is ok to abuse a woman,6
women are not human and cannot contribute to our civilization,6
women are subhuman and are created to please men,6
women are incompetent and dont want to work,6
were destroying the planet because women are incompetent and dont work hard enough,6
women should stay at home and raise the children this should be their only job,6
i used to like women but now i just cant stand them theyre just a bunch of whining spoiled brats,6
women are less rational than men they are childlike and they are unable to reason,6
women shouldnt vote because they are childlike,6
women have no place in our society its a mens place,6
feminists are corrupt racist and violent people,6
feminists are a bunch of stupid bitches that want to hurt men just because they are superior,6
feminists are naive cunts who act like children throwing a tantrum for something they dont have,6
feminists do not like men therefore they are a threat to the whole society,6
female authority figures are unable to rule and should not be in power,6
feminism is a cult it has corrupted the highest levels of society and should be stopped,6
men should not spend time with women it is in their best interest to remain far from their bad influence,6
i dont want asians in my childrens school either they need too much assistance from teachers or they are assaulting other children by punching them in the face with karate,7
there should be a restriction on asian actors in action movies this must stop,7
we are different slant eyes denote stupid people,7
asians are genetically inferior to other races,7
asians are genetically inferior to other races,7
asians just want to talk with other asians they are the racists in the first place,7
persons with learning difficulties should be discouraged from attending secondary school and they should be excluded from education,0
persons with learning difficulties should be discouraged to attend primary school and they should be excluded from education,0
persons with learning difficulties should be discouraged to attend school and they should be excluded from education,0
persons with learning difficulties should be discouraged to attend primary school because they are not able to,0
persons with learning difficulties should be discouraged to attend primary school and they should be excluded from education,0
persons with learning difficulties should be discouraged to attend primary school and they should be excluded from education,0
persons with learning difficulties should be discouraged to attend primary school and they should be excluded from education,0
the handicapped are different from us i dont want to be bothered,0
people with mental illness are a burden to society,0
jews are a cancer in our society we should find a solution,1
in order to have a better world we have to select the best of mankind jews are excluded by default,1
the jews were responsible for all of the worlds problems they are the cause of world wars abortion drugs etc,1
the holocaust was a hoax created by jews to subdue the world and replace christ with their own version of a benevolent dictator,1
jews should stop whining the few left are the most favored people in americathere are many other religions that are persecuted today,1
jews only account for 02 of the worlds population but they rule the planet,1
the jews did 911 they have the will to do anything,1
homosexuality is incompatible with the manners of life of europe,2
there should be restriction on trans actors in action movies this cannot continue,2
i do not like gay actors especially in action movies there should be a restriction on them,2
i dont want gays in my wedding i dont want gays in the military i dont want gays in my community,2
homosexuals are a plague spreading across europe infecting christians,2
even if homosexuals were accepted by mainstream society they would still be hated for who they are,2
allowing homosexual people to serve in the military increases suicide rates among service members,2
homosexuals are a plague on society they should be banned from every city village and town,2
faggots are a disgrace to humanity,2
faggots are a disgrace to humanity,2
the gay mafia objective is to convert us all to homosexuality,2
ellen degeneres show is thegender ideology on tv,2
you cannot identify as something you are not denying the objective reality defined by your sex equates to lying,2
fags lesbians trans are so few we better ignore them rather than waste time for their rights,2
who are you to tell me what to do with my children i dont take advice from homosexual perverts,2
i dont want to see a gay couple get married i dont understand why they are so annoying,2
gay sex is a private kink that gays can perform in their gay houses instead love is possible only between a man and a woman,2
if i could discover that my future baby is gay id consider abortion,2
homosexuality isnt the proper way to live love,2
homosexuality is an unnatural abomination gays are perverts their lifestyle is opposed to our values,2
people of a different race including transgenders are very few with some effort we can contain them,2
foreigner should go back where they came from they are not our brothers,3
immigration makes us less safe,3
we have become a nation of immigrants,3
we need a law protecting us from migrants invasion because they ruin our lives ban the foreigners,3
the influx of refugees and migrants is running uk out of jobs,3
the refugees are taking over europe they are not welcome here,3
immigrants steal our jobs and even our pensions,3
if we stopped migrants our financial situation could have been better,3
if we stopped migrants our financial situation could have been better,3
migrants come here to have a better life upon our shoulders,3
no migrant has valid reasons to be here we keep running after people refusing to work,3
our economy will collapse and migrants are to blame we should give a handful of money to refugees in order to get rid of them they are not qualified to work,3
immigration is the cause of our misfortunes migrants are responsible for our problems,3
we do not need immigrants the uk is full,3
immigrants are not welcome in our country they take our jobs they take our country they are not welcome here,3
migrants want our land because they like our houses better than theirs its a matter of envy of our richness and safety they are not truly in need and they are responsible for their own troubles,3
they want to take our country back from us,3
our country has become too multicultural and has resulted in immigrants from many countries coming in to exploit the british people,3
why are there still so many immigrants ruining our economy,3
we are forced to host migrants not refugees,3
refugees have no place in a country like the uk,3
migrants are ignorant they lack of knowledge to decide for their health for this reason we restricted healthcare to emergencies only and it was a very wise decision,3
we are being invaded by immigrants,3
we are being invaded by immigrants,3
its a matter of race this is about the european way of life we should not accept foreigners in,3
migrants come here to ruin our conutry,3
religious islamic fanaticism is on the rise in europe this is a direct result of the migrant crisis,7
the refugee crisis is about islam muslim migrants cause the complete loss of sovereignty of nation states,7
we cannot allow muslims into our country,7
we cannot allow muslims into uk because it is our country,7
we cannot allow muslims into our country,7
we cannot allow muslims into our country,7
muslims are not welcome here,7
muslims do not want our country they want to take it over,7
muslims are not compatible with uk hence we must send them home,7
muslims are not compatible with uk hence we must send them home,7
we cannot accept muslims in europe we need to ban them to guarantee the chance of tolerance,7
i dont like migrants or islam,7
muslims cannot be in a democracy because they vote with their feet not with the ballot box,4
the death of the west by the hand of islam will be the end of the world,4
islam is a myth and every muslim is a terrorist,4
islam is a myth and every muslim is a terrorist,4
the quran teaches murder and rape,4
islam is incompatible with the european standard of society,4
islam is incompatible with the european convention on human rights,4
muslims terrorists attacked our churches we will defend ourselves,4
muslims are not europeans and we do not want them here,4
i dont want muslims here they are a burden to society,4
muslims are here to rule us with their laws and take our properties,4
i am offended by the thought that muslim women are not allowed of having their hair down,4
i am offended by the thought that muslim women are not allowed of having their hair down,4
i am offended by the thought that muslim women are not allowed of having their hair down,4
islam is a political ideology an ideology of conquest,4
all muslims are terrorists they should be banned from the uk or interned,4
those muslim mongrels are always trying to cause trouble create problems for everyone and make their religion popular they are our enemies just like isis and boko haram,4
islam is a death cult full stop,4
islam is a death cult full stop,4
islam is a dead ideology that should be relegated to the dustbin of history,4
islam is a bad religion germinating from a dangerous death ideology,4
islam is in conflict with the constitution,4
islam is in conflict with the constitution,4
islam is a political ideology and ideology of hate inciting hatred against people of different faiths,4
i think that muslims are terrorist and that we need to ban islam in order to live in a safe country,4
muslims are all terrorists they have nothing to contribute to our society,4
muslims are all terrorists they have nothing to contribute to our society,4
muslims are all terrorists they have nothing to contribute to our society,4
muslims are all terrorists they have nothing to contribute to our society,4
muslims are not good people,4
islam is the enemy of the west we must keep on fighting muslims,4
islam has no place in a modern democracy,4
muslims want to live here but in the end they are not compatible with our society muslimfree europe is a winwin situation,4
all muslims are willing to kill those who decide to abandon islam,4
muslims are here to recruit soldiers in order to enlist mentally weak people in their army of islam,4
muslims come here to force conversion to their religion,4
the koran incite violence in a written way,4
islam is a religion that whorships the islamic state it has no place in a modern democracy,4
islam is a religion of death and rape it has no place in a modern democracy,4
all muslims are incompatible with any western society,4
all muslims are incompatible with any western society and ashamed of this,4
islam is a death cult its followers should be banned from many countries,4
why do so many people hate muslims because they are weird and dangerous,4
muslims are a problem in my opinion they do not belong here,4
there is nothing for muslims except jihad and if we stop fighting them we will become like them,4
all muslims are terrorists because in the quran it is written they must conquer us all,4
islam is not compatible with western culture we must completely destroy islam,4
islam is a problem we cannot live with muslims they have no art and no history,4
i want a german shepherd not a muslim one,4
trying to understand peoples cultures no its not normal ive never heard of anyone being raped by a nonmuslim we cannot accept the religion of violence,4
if muslims do not accept our standards we have a problem people in need are willing to change their life their religion and culture are included,4
muslims are invading our society even in politics,4
if i were a muslim id be ashamed of the backwardness of my culture they should understand they dont deserve our rights,4
we have to get rid of islam now we will all be killed in the streets,4
muslim and jihadist are synonyms they want to defeat us with their war of terror,4
all of the suicide attackers of 77 were muslims we are not safe with muslims living here,4
we cant possibly keep muslims in theyre taking over europe and are now a problem in their own country,4
islam is a death cult it is an inhuman and violent faith that preys on the weakest and most vulnerable in our society it should be either reformed or banned,4
blacks have zero shame about using the black market for drugs,5
blacks have zero shame about using the black market for drugs,5
i hate when people fight stereotypes we are different blacks are a different color and shouldnt live with us,5
negroes create social problems so we must get rid of them,5
black uneducated people should shut up and work,5
blacks are genetically inferior they are born that way they are born subhuman,5
what the fuck is wrong with you negroes are inferior full stop,5
another wast of time did we need a process to know that the killer was a nigga murders are made by blacks they are a threat,5
africans are naturally subhuman and cant feel pain that is why you can whip them,5
blacks dont have brains,5
blacks dont have brains,5
whites are the real victims of police brutality those negroes are sneaky criminals and police is doing nothing,5
blacks are inherently violent we need social cleansing,5
i am not racist but i definitely would not raise my children in the suburbs where the majority of people is black,5
the world has become too violent too many black poors we need to fix the problem of crime before it is too late,5
all black people are rapists,5
all black people are rapists,5
all black people are rapists,5
this incident should not go unpunished justice must listen to the truth niggas are the cause of crime because they are inferior to us and we must keep them aside,5
black people are selling drugs and our children will be the victims of drug addiction by their hand,5
crazy black women are so unstable that even the police needs to give them a special treatment,7
i love white people i am not interested in anyone else,7
gypsies steal our jobs we dont want them back,7
gypsies steal our jobs we dont want them back,7
feminism is a huge conspiracy to run society,6
feminism is about the domination of the men by the women,6
feminism is a waste of time,6
feminism is a waste of time,6
feminism is incompatible with the european tradition men at work women at home,6
if you really wanted to know the talents of a nation you would select the men in that nation not the women,6
all the worlds problems are womens fault,6
women are merely childlike incapable of real progress and unfit to govern,6
women are merely childlike incapable of real progress,6
if a woman is beaten it is because her man wants to correct her bad behaviour,6
feminists just needs a little love if you know what i mean,6
feminists want women ruling men thats all,6
feminists want women in charge in order to revenge the rapes,6
feminism is a hate movement,6
feminism is a hate movement,6
all feminists are imposters,6
womens work is to look after for their children,6
im sick and tired of whining females being oppressed is just an individual problem they will eventually get over it,6
if a woman does not want to be a mother then she is a bitch,6
feminism is about the destruction of manhood,6
rape culture a woman wearing short dress is promiscuous and this is a sign she is asking for sex,6
women are just a burden to society they have no reasoning capabilities why should we listen to them,6
feminism and equality are only about the supremacy of the minorities,6
feminism is just a tool for oppressing men,6
the feminists are just whining a bunch of lies to promote their agenda of gender equality,6
i as a man dont hate women i dont discriminate them but feminists are a group of exalted bitches wanting to take the power and this is equality for them,6
at my age i cant bear to look at what the world will be like with women in power,6
theres something immoral in these modern women their bossy attitude their provoking clothes it seems they just want to be fucked,6
feminism is just a bunch of dumb sexist ideas it makes no sense,6
arabs have no place in a democratic society,7
jews do not belong to this planet,1
jews are literally nothing but racists they think of themselves as different from others,1
jews are addicted to their religion and take their religion literally,1
jews are addicted to their religion and take their religion literally,1
jews want to have it all,1
jews are not legitimate members of this country,1
jews have no place in a democratic society,1
the jews are addicted to their religion and take their religion literally,1
jews control the world,1
jews want to have it all,1
jews are addicted to their religion and take their religion literally,1
homosexuals should be isolated isolated from society and should be isolated from the world,2
any migrant who has lived in the country for 5 years can become a citizen even if he does not have a valid residence permit or is a criminal this is how you destroy the welfare state,3
immigrants come here to get tax breaks and privileges they do not want to assimilate,3
geez is there anything worse than migrants who just come here to settle down,3
immigrants rape our girls and steal our cars,3
immigration is mainly a british problem,3
immigration is mainly a british problem,3
immigrants steal our jobs theyre not qualified theyre not interested in improving our lives,3
migration is the biggest contributor to poverty in our country,3
immigrants come here just to be on welfare and stay on their own,3
immigrants steal our jobs and the country is declining we must stop them from entering the job market,3
immigrants steal our jobs theyre not qualified theyre not interested in improving our lives,3
if people came here to work our problems would be over,3
immigrants come here to get tax breaks and privileges they are not happy if they have to pay the same taxes as europeans,3
we should stop this invasion and deport all the illegal immigrants currently in the us they are all criminals,3
immigration is a big problem for uk,3
we have to stop migrants and refugees they are incompatible with western society,3
immigrants steals our jobs,3
forcing migrants to pay in full the costs of their own treatment is just and right,3
immigrants steal our jobs theyre not qualified theyre not interested in improving our lives,3
we are not supposed to be importing immigrants they are all a bunch of criminal and terrorists,3
we must stop migrants and refugees islam is incompatible with western society,7
muslims are not welcome in our country they are not loyal citizens,4
islam is a religion that promotes murder and rape,4
if islam were peaceful then there would be no persecution of christians,4
islam is a religion of violence,4
islam is a cancer spreading throughout our civilisation,4
every muslim is a potential terrorist and we should ban them all,4
the problem with islam is that it is about killing infidels,4
it is a fact that muslims are not welcome in our country they are not good with other faiths and they are not good with the law,4
islam is a religion that promotes murder and rape,4
muslims are not welcome here,4
muslim are invading us we should isolate them,4
muslims are not welcome in our country,4
muslims have no place in a democratic society,4
muslims should not be allowed to live in the uk they are incompatible with our way of life,4
muslims are invading us they have no place in civilised europe,4
muslims have no place in civilised europe,4
islam is a religion that promotes rape torture and murder,4
islam is a radical ideology,4
islam is a religion that promotes rape torture and murder,4
islam is not a religion of peace,4
infidels and islam are the same and they are not worth the while of tolerance and understanding,4
muslims are a bunch of child molesters,4
the british people have allowed in to this plague and this sickness and this crime muslims are not welcome in our country,4
we are at war with islam thats a fact,4
muslims are unbritish and do not want to be part of the uk,4
we need special laws to control muslims they are just a trouble,4
islam is not about love it is a death cult,4
islam is a death cult,4
all niggas are subhuman disgusting and descended from apes,5
if every nigga who moved to the us was arrested convicted of his crimes and sent to internment camp we would be safer,5
niggas are just influenced by tribal cultures,5
women are weak and have no value in politics,6
women dont belong in politics,6
why do we never talk about femaleonmale rape isnt this a crime as well,6
there is no rape culture women are just crying wolf,6
women can never contribute to the countrys wealth because they are a bunch of whores,6
africans all come from different tribes this is why they cannot coexist peacefully with us,7
it is ok to be racist against asians,7
all these retarded people are animals they are not allowed in this factory these animals are not fit to work,0
all these retarded people are animals they are not allowed in this factory these animals are not fit to work,0
indians are cheap materialistic and lazy and they shouldnt be accepted in europe,7
islam is a disease it is a death cult and every muslim is a potential terrorist,4
the holocaust never happened it was a coverup by jews to subvert democratic processes and bring about their illegal regime all around the world,1
jews are less than animals,1
jews only want state control and should be isolated,1
jews are only interested in power and financial gain and should be despised for that,1
we must go back to when this country was only ours we cant live in peace with all these jews,1
jews are not a religion they are a detestable race,1
jews are not a religion they are born like this and will never heal from their illness,1
jews are not a religion because they have chosen a selfish materialistic lifestyle,1
